order_id,order_date,customer_id,product_id,quantity,unit_price,discount_pct,sales_amount,channel,payment_method,shipping_priority
1,2024-10-09 15:00:00,78,279,46,18.43,5,805.39,Distributor,Invoice,Standard
2,2024-02-25 23:00:00,227,84,172,20.84,0,3584.48,Key Account,Bank Transfer,Standard
3,2024-02-10 22:00:00,184,6,360,21.77,10,7053.48,Distributor,Invoice,Express
4,2024-10-05 04:00:00,321,238,16,22.88,0,366.08,Distributor,Bank Transfer,Express
5,2024-07-15 14:00:00,142,239,224,38.51,5,8194.93,Online,Invoice,Express
6,2024-06-20 05:00:00,496,40,355,20.9,10,6677.55,Key Account,Credit Card,Standard
7,2024-03-15 12:00:00,130,131,105,11.45,0,1202.25,Distributor,Invoice,Express
8,2024-10-04 05:00:00,43,68,304,46.35,5,13385.88,Online,Invoice,Standard
9,2024-07-06 16:00:00,314,263,253,29.35,0,7425.55,Key Account,Credit Card,Standard
10,2024-12-19 02:00:00,495,149,174,6.29,0,1094.46,Key Account,Credit Card,Standard
11,2024-05-13 15:00:00,119,262,296,43.13,0,12766.48,Online,Bank Transfer,Standard
12,2024-10-26 10:00:00,171,64,182,18.54,5,3205.57,Online,Bank Transfer,Standard
13,2024-11-27 16:00:00,126,252,35,21.61,5,718.53,Online,Bank Transfer,Standard
14,2024-09-30 21:00:00,456,240,352,19.75,0,6952.0,Distributor,Invoice,Express
15,2024-05-07 07:00:00,91,22,337,13.93,0,4694.41,Online,Bank Transfer,Standard
16,2024-10-10 10:00:00,276,218,79,45.81,0,3618.99,Online,Invoice,Standard
17,2024-11-18 20:00:00,279,5,71,14.81,10,946.36,Key Account,Credit Card,Standard
18,2024-03-29 01:00:00,52,37,135,47.85,5,6136.76,Key Account,Bank Transfer,Express
19,2024-05-02 11:00:00,395,102,308,14.7,0,4527.6,Distributor,Bank Transfer,Express
20,2024-12-07 16:00:00,243,280,283,23.23,5,6245.39,Key Account,Bank Transfer,Express
21,2024-02-20 15:00:00,43,280,229,23.23,5,5053.69,Key Account,Invoice,Express
22,2024-03-13 21:00:00,66,59,131,13.95,5,1736.08,Online,Credit Card,Standard
23,2024-01-16 09:00:00,162,88,251,27.42,0,6882.42,Online,Credit Card,Express
24,2024-02-26 23:00:00,224,161,6,17.9,0,107.4,Key Account,Bank Transfer,Standard
25,2024-05-14 08:00:00,339,95,82,7.94,10,585.97,Online,Credit Card,Express
26,2024-09-06 03:00:00,187,86,189,11.96,0,2260.44,Online,Invoice,Standard
27,2024-07-14 18:00:00,478,90,114,9.79,0,1116.06,Distributor,Bank Transfer,Express
28,2024-04-18 02:00:00,47,223,76,32.48,0,2468.48,Key Account,Bank Transfer,Express
29,2024-12-22 00:00:00,484,194,19,65.24,5,1177.58,Key Account,Bank Transfer,Standard
30,2024-04-11 01:00:00,289,39,134,31.0,10,3738.6,Distributor,Credit Card,Express
31,2024-10-04 20:00:00,284,74,265,16.08,5,4048.14,Key Account,Credit Card,Standard
32,2024-01-27 18:00:00,395,11,377,12.12,0,4569.24,Online,Credit Card,Express
33,2024-05-04 17:00:00,137,74,307,16.08,0,4936.56,Online,Invoice,Express
34,2024-02-29 14:00:00,293,278,351,41.32,10,13052.99,Distributor,Credit Card,Express
35,2024-03-03 10:00:00,231,253,50,21.86,0,1093.0,Online,Invoice,Standard
36,2024-11-11 03:00:00,251,95,223,7.94,0,1770.62,Distributor,Bank Transfer,Standard
37,2024-12-10 08:00:00,389,217,171,45.89,10,7062.47,Distributor,Invoice,Standard
38,2024-02-03 09:00:00,310,99,257,7.29,0,1873.53,Distributor,Credit Card,Express
39,2024-09-28 19:00:00,179,84,275,20.84,0,5731.0,Key Account,Invoice,Standard
40,2024-08-09 10:00:00,424,283,386,30.58,0,11803.88,Key Account,Credit Card,Standard
41,2024-05-14 12:00:00,271,110,246,29.99,10,6639.79,Online,Credit Card,Standard
42,2024-10-02 11:00:00,84,130,19,8.54,10,146.03,Key Account,Credit Card,Standard
43,2024-09-16 21:00:00,244,176,287,67.71,0,19432.77,Distributor,Credit Card,Express
44,2024-11-28 23:00:00,476,87,107,22.16,0,2371.12,Distributor,Bank Transfer,Express
45,2024-08-18 05:00:00,332,233,281,38.42,5,10256.22,Key Account,Bank Transfer,Express
46,2024-09-29 03:00:00,330,25,88,33.4,10,2645.28,Online,Credit Card,Standard
47,2024-09-20 16:00:00,453,30,239,44.76,0,10697.64,Online,Bank Transfer,Standard
48,2024-02-12 05:00:00,167,32,260,37.28,0,9692.8,Online,Credit Card,Express
49,2024-10-16 10:00:00,268,121,3,10.37,5,29.55,Distributor,Bank Transfer,Standard
50,2024-12-19 20:00:00,16,95,308,7.94,10,2200.97,Key Account,Bank Transfer,Express
51,2024-07-25 15:00:00,150,215,68,20.14,0,1369.52,Key Account,Bank Transfer,Standard
52,2024-04-21 12:00:00,31,153,307,8.88,0,2726.16,Key Account,Bank Transfer,Express
53,2024-01-06 23:00:00,183,153,116,8.88,10,927.07,Online,Bank Transfer,Standard
54,2024-05-04 18:00:00,323,153,176,8.88,5,1484.74,Key Account,Credit Card,Express
55,2024-12-30 15:00:00,439,185,131,58.81,0,7704.11,Key Account,Invoice,Express
56,2024-06-02 11:00:00,431,170,28,40.24,5,1070.38,Distributor,Credit Card,Standard
57,2024-03-04 17:00:00,402,72,9,11.47,5,98.07,Distributor,Credit Card,Express
58,2024-07-28 00:00:00,33,140,389,24.61,5,9094.63,Key Account,Bank Transfer,Express
59,2024-04-20 13:00:00,457,155,57,7.79,10,399.63,Online,Credit Card,Express
60,2024-10-21 09:00:00,178,83,129,28.18,5,3453.46,Distributor,Bank Transfer,Standard
61,2024-02-17 05:00:00,436,205,114,48.25,10,4950.45,Online,Bank Transfer,Express
62,2024-03-03 22:00:00,160,111,332,13.59,0,4511.88,Online,Credit Card,Express
63,2024-02-23 10:00:00,452,93,75,25.31,5,1803.34,Online,Credit Card,Standard
64,2024-11-23 03:00:00,188,106,370,26.97,10,8981.01,Online,Bank Transfer,Express
65,2024-03-25 20:00:00,154,208,108,26.68,0,2881.44,Online,Credit Card,Standard
66,2024-04-03 21:00:00,260,195,219,28.43,0,6226.17,Key Account,Invoice,Standard
